Cloud cluster|HA Name|Compute hostaname|Compute Ip|Compute status
openstack-hlct6|3PAR-T6C01-Broadwell|hlc6fcom-40|10.255.77.40|disabled
openstack-hlct6|3PAR-T6C01-Broadwell|hlc6fcom-41|10.255.77.41|enabled
openstack-hlct6|3PAR-T6C01-Broadwell|hlc6fcom-42|10.255.77.42|enabled
openstack-hlct6|3PAR-T6C01-Broadwell|hlc6fcom-43|10.255.77.43|enabled
openstack-hlct6|3PAR-T6C01-Broadwell|hlc6fcom-44|10.255.77.44|enabled
openstack-hlct6|3PAR-T6C01-Broadwell|hlc6fcom-45|10.255.77.45|enabled
openstack-hlct6|3PAR-T6C01-Broadwell|hlc6fcom-46|10.255.77.46|enabled
openstack-hlct6|3PAR-T6C01-Broadwell|hlc6fcom-47|10.255.77.47|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-100|10.255.77.100|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-101|10.255.77.101|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-102|10.255.77.102|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-103|10.255.77.103|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-104|10.255.77.104|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-105|10.255.77.105|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-106|10.255.77.106|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-107|10.255.77.107|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-233|10.255.77.233|disabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-234|10.255.77.234|disabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-235|10.255.77.235|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-236|10.255.77.236|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-5|10.255.77.5|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-6|10.255.77.6|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-7|10.255.77.7|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-8|10.255.77.8|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-93|10.255.77.93|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-94|10.255.77.94|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-95|10.255.77.95|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-96|10.255.77.96|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-97|10.255.77.97|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-98|10.255.77.98|enabled
openstack-hlct6|3PAR-T6C01-Skylake|hlc6fcom-99|10.255.77.99|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-29|10.255.77.29|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-30|10.255.77.30|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-31|10.255.77.31|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-32|10.255.77.32|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-33|10.255.77.33|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-35|10.255.77.35|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-36|10.255.77.36|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-37|10.255.77.37|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-38|10.255.77.38|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-39|10.255.77.39|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-67|10.255.77.67|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-68|10.255.77.68|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-69|10.255.77.69|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-70|10.255.77.70|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-71|10.255.77.71|enabled
openstack-hlct6|3PAR-T6C01-Skylake-LEAF.05-06|hlc6fcom-72|10.255.77.72|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS|hlc6fcom-116|10.255.77.116|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS|hlc6fcom-117|10.255.77.117|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS|hlc6fcom-118|10.255.77.118|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS|hlc6fcom-186|10.255.77.186|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS|hlc6fcom-190|10.255.77.190|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS|hlc6fcom-191|10.255.77.191|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS|hlc6fcom-192|10.255.77.192|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS|hlc6fcom-193|10.255.77.193|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.15-16|hlc6fcom-113|10.255.77.113|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.15-16|hlc6fvttcom-174|10.255.77.174|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.15-16|hlc6fvttcom-175|10.255.77.175|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.15-16|hlc6fvttcom-176|10.255.77.176|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.15-16|hlc6fvttcom-177|10.255.77.177|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.15-16|hlc6fvttcom-178|10.255.77.178|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.15-16|hlc6fvttcom-179|10.255.77.179|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.15-16|hlc6fvttcom-180|10.255.77.180|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.15-16|hlc6fvttcom-181|10.255.77.181|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.15-16|hlc6fvttcom-182|10.255.77.182|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.15-16|hlc6fvttcom-183|10.255.77.183|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.15-16|hlc6fvttcom-184|10.255.77.184|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.15-16|hlc6fvttcom-185|10.255.77.185|enabled
openstack-hlct6|3PAR-T6E04-Sandybridge-IBRS-LEAF.19-20|hlc6fcom-119|10.255.77.119|enabled
