FW_id|FW_name|source_zone|dest_zone|insert_time 
210|HHT9603.CLOUD.CP15600.FWPRI.04|null|null|2024-06-07 10:21:40
241|HLC9106.CLOUD.CP15600.FWPUB.02|null|null|2024-06-07 10:21:40
237|HLC9106.CLOUD.CP15600.FWPRI.02|null|null|2024-06-07 10:21:40
257|vOCS3.0.INTRANET|null|null|2024-06-07 10:21:40
214|DCN|null|null|2024-06-07 10:21:40
228|HLC9106.CLOUD.CP15600.FWPRI.03|null|null|2024-06-07 10:21:40
217|HHT9603.CLOUD.CP15600.FWVAS.02|null|null|2024-06-07 10:21:40
230|HLC9102.VAS.PRI.CLUSTER|null|null|2024-06-07 10:21:40
222|HHT9603.DATA.CP15600.FWPRI.01|null|null|2024-06-07 10:21:40
251|VSX_MPBN|null|null|2024-06-07 10:21:40
235|HLC9106.CLOUD.CP15600.FWPUB.03|null|null|2024-06-07 10:21:40
216|HHT9603.DATA.CP15600.FWPUB.01|null|null|2024-06-07 10:21:40
253|vOCS3.0.INTRANET.GVM|null|null|2024-06-07 10:21:40
243|HLC9106.DATA.CP15600.FWPUB.02|null|null|2024-06-07 10:21:40
9|GVM9105.FG240D.VAS.FW01|null|null|2024-06-07 10:21:40
263|HLC9106.VAS.CLUSTER-1|null|null|2024-06-07 10:21:40
242|HLC9106.CLOUD.PRI.CLUSTER-1|null|null|2024-06-07 10:21:40
218|HHT9603.DATA.CP15600.FWPUB.02|null|null|2024-06-07 10:21:40
225|HHT9604.CLOUD.CP13500.FWTEST.02|null|null|2024-06-07 10:21:40
254|SPGM01DRFIREWALL02|null|null|2024-06-07 10:21:40
226|HHT9604.CLOUD.CP13500.FWTEST.01|null|null|2024-06-07 10:21:40
36|GVM103.IT.FG1500.FWVAS.01|null|null|2024-06-07 10:21:40
250|IPBN|null|null|2024-06-07 10:21:40
52|PVN104BANK_FW01|ZONE_INTRANET|ZONE_MERCHANT|2024-06-07 10:21:40
16|PVN102DCN_NMS_FW01|ZONE_DCN|ZONE_NMS|2024-06-07 10:21:40
233|HLC9106.CLOUD.CP15600.FWPRI.01|null|null|2024-06-07 10:21:40
245|HLC9106.DATA.PUB.CLUSTER-1|null|null|2024-06-07 10:21:40
223|HHT9603.DATA.PRI|null|null|2024-06-07 10:21:40
247|HLC9106.DATA.PRI.CLUSTER-1|null|null|2024-06-07 10:21:40
61|PVN_VIETTEL_CA_INTERNAL_NEW|UPLINK_INTRANET|DMZ_DCN|2024-06-07 10:21:40
255|SPHL08FIREWALL01|null|null|2024-06-07 10:21:40
212|CLOUD.VSX|null|null|2024-06-07 10:21:40
220|HHT9603.CLOUD.PRI.01|null|null|2024-06-07 10:21:40
17|HLC9102_MAIL_FW01|To_Intranet.Zone|To_Mail.Private.Zone|2024-06-07 10:21:40
12|HLC105F800CFWSIRC01|To_Intranet|To_SIRC|2024-06-07 10:21:40
246|HLC9106.DATA.CP15600.FWPRI.02|null|null|2024-06-07 10:21:40
207|HHT9603.CLOUD.CP15600.FWPRI.01|null|null|2024-06-07 10:21:40
219|HHT9603.CLOUD.VAS|null|null|2024-06-07 10:21:40
239|HLC9106.DATA.CP15600.FWPRI.01|null|null|2024-06-07 10:21:40
30|HLC9106.IT.FG1500.FWVAS.01|null|null|2024-06-07 10:21:40
215|HHT9603.CLOUD.PUB|null|null|2024-06-07 10:21:40
55|PVN9105FW1200D_CP_PUB_01|VAS-CP|INTERNET|2024-06-07 10:21:40
256|SPHL08FIREWALL02|null|null|2024-06-07 10:21:40
211|HHT9603.CLOUD.CP15600.FWPRI.03|null|null|2024-06-07 10:21:40
240|HLC9106.CLOUD.CP15600.FWPUB.01|null|null|2024-06-07 10:21:40
35|GVM103.IT.FG1500.FWPRI.02|null|null|2024-06-07 10:21:40
227|HHT9604.CLOUD.FWTEST|null|null|2024-06-07 10:21:40
206|HHT9603.CLOUD.CP15600.FWPUB.01|null|null|2024-06-07 10:21:40
