id,hostname,ip,name,speed,maxi_60,maxo_60,last_update
8652325,HLC9106.DATA.SRX4200.FWECS.02,10.60.221.163,em2,10000000,0,0,2023-05-08 15:54:35
8652331,HLC9106.DATA.SRX4200.FWECS.02,10.60.221.163,em0.0,10000000,18732,1827,2023-05-08 15:54:35
8652337,HLC9106.DATA.SRX4200.FWECS.02,10.60.221.163,em1,10000000,621,254,2023-05-08 15:54:35
8652343,HLC9106.DATA.SRX4200.FWECS.02,10.60.221.163,em0,10000000,18912,1873,2023-05-08 15:54:35
6472531,HLC9106_DATA_NX93240_BGW_01,10.60.221.39,Ethernet1/49,100000000,5201,6841,2023-05-08 15:54:21
6472536,HLC9106_DATA_NX93240_BGW_01,10.60.221.39,port,20000000,39,39,2023-05-08 15:54:21
6472541,HLC9106_DATA_NX93240_BGW_01,10.60.221.39,port,20000000,782337170,165929453,2023-05-08 15:54:21
6472546,HLC9106_DATA_NX93240_BGW_01,10.60.221.39,Ethernet1/54,100000000,152797593,610645095,2023-05-08 15:54:21
6472551,HLC9106_DATA_NX93240_BGW_01,10.60.221.39,port,200000000,9160,9520,2023-05-08 15:54:21
6472556,HLC9106_DATA_NX93240_BGW_01,10.60.221.39,port,60000000,968551414,85421115,2023-05-08 15:54:21
6472561,HLC9106_DATA_NX93240_BGW_01,10.60.221.39,Ethernet1/53,100000000,161315146,717419894,2023-05-08 15:54:21
6472566,HLC9106_DATA_NX93240_BGW_01,10.60.221.39,Ethernet1/56,100000000,167887460,128084672,2023-05-08 15:54:21
6472576,HLC9106_DATA_NX93240_BGW_01,10.60.221.39,port,60000000,0,0,2023-05-08 15:54:21
6472581,HLC9106_DATA_NX93240_BGW_01,10.60.221.39,Ethernet1/52,100000000,158621752,676927751,2023-05-08 15:54:21
6472586,HLC9106_DATA_NX93240_BGW_01,10.60.221.39,Vlan3600,1000000,0,0,2023-05-08 15:54:21
6472591,HLC9106_DATA_NX93240_BGW_01,10.60.221.39,Ethernet1/55,100000000,204647771,132982597,2023-05-08 15:54:21
6472606,HLC9106_DATA_NX93240_BGW_02,10.60.221.40,Ethernet1/49,100000000,6887,5211,2023-05-08 15:54:21
6472611,HLC9106_DATA_NX93240_BGW_02,10.60.221.40,port,20000000,37,39,2023-05-08 15:54:21
6472626,HLC9106_DATA_NX93240_BGW_02,10.60.221.40,port,20000000,112025682,186960531,2023-05-08 15:54:21
6472631,HLC9106_DATA_NX93240_BGW_02,10.60.221.40,Ethernet1/54,100000000,178392114,245295588,2023-05-08 15:54:21
6472636,HLC9106_DATA_NX93240_BGW_02,10.60.221.40,port,200000000,9631,9158,2023-05-08 15:54:21
6472641,HLC9106_DATA_NX93240_BGW_02,10.60.221.40,port,60000000,556819170,86202372,2023-05-08 15:54:21
6472646,HLC9106_DATA_NX93240_BGW_02,10.60.221.40,Ethernet1/53,100000000,190547356,288570456,2023-05-08 15:54:21
6472651,HLC9106_DATA_NX93240_BGW_02,10.60.221.40,Ethernet1/56,100000000,175971786,145537321,2023-05-08 15:54:21
6472661,HLC9106_DATA_NX93240_BGW_02,10.60.221.40,port,60000000,0,0,2023-05-08 15:54:21
6472666,HLC9106_DATA_NX93240_BGW_02,10.60.221.40,Ethernet1/52,100000000,182567957,262244041,2023-05-08 15:54:21
6472671,HLC9106_DATA_NX93240_BGW_02,10.60.221.40,Vlan3600,1000000,0,0,2023-05-08 15:54:21
6472676,HLC9106_DATA_NX93240_BGW_02,10.60.221.40,Ethernet1/55,100000000,181687650,140378530,2023-05-08 15:54:21
6472681,HLC9106_DATA_NX93240_BGW_02,10.60.221.40,Ethernet1/51,100000000,158437067,266024349,2023-05-08 15:54:21
