hostname compute|IP_Compute|Cum Cloud|vCPU
hlc6fcom-40|10.255.77.3:9183|openstack-hlct6|68
hlc6fcom-41|10.255.77.3:9183|openstack-hlct6|140
hlc6fcom-42|10.255.77.3:9183|openstack-hlct6|146
hlc6fcom-43|10.255.77.3:9183|openstack-hlct6|156
hlc6fcom-44|10.255.77.3:9183|openstack-hlct6|182
hlc6fcom-45|10.255.77.3:9183|openstack-hlct6|76
hlc6fcom-46|10.255.77.3:9183|openstack-hlct6|112
hlc6fcom-47|10.255.77.3:9183|openstack-hlct6|64
hlc6fcom-100|10.255.77.3:9183|openstack-hlct6|158
hlc6fcom-101|10.255.77.3:9183|openstack-hlct6|152
hlc6fcom-102|10.255.77.3:9183|openstack-hlct6|180
hlc6fcom-103|10.255.77.3:9183|openstack-hlct6|40
hlc6fcom-104|10.255.77.3:9183|openstack-hlct6|156
hlc6fcom-105|10.255.77.3:9183|openstack-hlct6|136
hlc6fcom-106|10.255.77.3:9183|openstack-hlct6|106
hlc6fcom-107|10.255.77.3:9183|openstack-hlct6|94
hlc6fcom-233|10.255.77.3:9183|openstack-hlct6|2
hlc6fcom-234|10.255.77.3:9183|openstack-hlct6|138
hlc6fcom-235|10.255.77.3:9183|openstack-hlct6|284
hlc6fcom-236|10.255.77.3:9183|openstack-hlct6|220
hlc6fcom-5|10.255.77.3:9183|openstack-hlct6|218
hlc6fcom-6|10.255.77.3:9183|openstack-hlct6|166
hlc6fcom-7|10.255.77.3:9183|openstack-hlct6|235
hlc6fcom-8|10.255.77.3:9183|openstack-hlct6|182
hlc6fcom-93|10.255.77.3:9183|openstack-hlct6|134
hlc6fcom-94|10.255.77.3:9183|openstack-hlct6|152
hlc6fcom-95|10.255.77.3:9183|openstack-hlct6|120
hlc6fcom-96|10.255.77.3:9183|openstack-hlct6|152
hlc6fcom-97|10.255.77.3:9183|openstack-hlct6|130
hlc6fcom-98|10.255.77.3:9183|openstack-hlct6|98
hlc6fcom-99|10.255.77.3:9183|openstack-hlct6|166
hlc6fcom-29|10.255.77.3:9183|openstack-hlct6|140
hlc6fcom-30|10.255.77.3:9183|openstack-hlct6|72
hlc6fcom-31|10.255.77.3:9183|openstack-hlct6|108
hlc6fcom-32|10.255.77.3:9183|openstack-hlct6|178
hlc6fcom-33|10.255.77.3:9183|openstack-hlct6|130
hlc6fcom-35|10.255.77.3:9183|openstack-hlct6|130
hlc6fcom-36|10.255.77.3:9183|openstack-hlct6|84
hlc6fcom-37|10.255.77.3:9183|openstack-hlct6|146
hlc6fcom-38|10.255.77.3:9183|openstack-hlct6|160
hlc6fcom-39|10.255.77.3:9183|openstack-hlct6|138
hlc6fcom-67|10.255.77.3:9183|openstack-hlct6|224
hlc6fcom-68|10.255.77.3:9183|openstack-hlct6|222
hlc6fcom-69|10.255.77.3:9183|openstack-hlct6|266
hlc6fcom-70|10.255.77.3:9183|openstack-hlct6|248
hlc6fcom-71|10.255.77.3:9183|openstack-hlct6|44
hlc6fcom-72|10.255.77.3:9183|openstack-hlct6|192
hlc6fcom-116|10.255.77.3:9183|openstack-hlct6|128
hlc6fcom-117|10.255.77.3:9183|openstack-hlct6|178
hlc6fcom-118|10.255.77.3:9183|openstack-hlct6|140
hlc6fcom-186|10.255.77.3:9183|openstack-hlct6|130
hlc6fcom-190|10.255.77.3:9183|openstack-hlct6|156
hlc6fcom-191|10.255.77.3:9183|openstack-hlct6|146
hlc6fcom-192|10.255.77.3:9183|openstack-hlct6|136
hlc6fcom-193|10.255.77.3:9183|openstack-hlct6|148
hlc6fcom-113|10.255.77.3:9183|openstack-hlct6|100
hlc6fvttcom-174|10.255.77.3:9183|openstack-hlct6|204
hlc6fvttcom-175|10.255.77.3:9183|openstack-hlct6|198
hlc6fvttcom-176|10.255.77.3:9183|openstack-hlct6|162
hlc6fvttcom-177|10.255.77.3:9183|openstack-hlct6|156
hlc6fvttcom-178|10.255.77.3:9183|openstack-hlct6|204
hlc6fvttcom-179|10.255.77.3:9183|openstack-hlct6|108
hlc6fvttcom-180|10.255.77.3:9183|openstack-hlct6|182
hlc6fvttcom-181|10.255.77.3:9183|openstack-hlct6|176
