Cum_Cloud|pool_id|total|used 
cloud-nth|1|23255613677872|228041008|
cloud-nth|10|243497994955735|83827239895|
cloud-nth|11|53479890425374|10425886|
cloud-nth|2|23444786149901|189400513037|
cloud-nth|3|23255385636883|19|
cloud-nth|4|33597392220928|10342006584064|
cloud-nth|5|23255385636864|0|
cloud-nth|8|243258505056176|1230672252848|
cloud-nth|9|53479887042303|7042815|
cisco-2020|10|70698693296128|0|
cisco-2020|11|70698978878765|285582637|
cisco-2020|12|76645124271405|36598832426285|
cisco-2020|13|34856776997727|15205227535199|
cisco-2020|18|25497570810036|185717921972|
cisco-2020|19|250301879074127|75874214264143|
cisco-2020|20|236367822869115|71068439958139|
cisco-2020|21|52644449021920|23392506802144|
cisco-2020|22|54192499648248|21429104994040|
cisco-2020|7|72268335188563|1569641892435|
cisco-2020|8|71433512848830|734819552702|
cisco-2020|9|132086265068568|61387571772440|
cloud-hht|10|119478504161096|20002590457672|
cloud-hht|11|165619008891532|22529086417548|
cloud-hht|12|27241448699488|7078064125536|
cloud-hht|13|34378595187716|20337344658436|
cloud-hht|14|99475913703424|0|
cloud-hht|15|99476056162912|142459488|
cloud-hht|8|99646826799007|170913095583|
cloud-hht|9|99475913703443|19|
