instance_name|instance|uuid|vCPU| 
etc01_10.255.135.3|10.255.132.28:9177|614f44f4-ee50-4993-8e68-c46830ee3768|10|
etc03_10.255.135.5|10.255.132.26:9177|7bd6eb20-9586-4113-96fc-497ea2ab8308|10|
etc02_10.255.135.4|10.255.132.27:9177|6e4d1e57-d45d-45cd-b71b-ba447bab1242|10|
evoucher1_10.255.135.1|10.255.132.23:9177|65e9f1de-7848-4d68-8b61-8a5bcb7964f1|10|
evoucher2_10.255.135.2|10.255.132.22:9177|6f33f0f3-b7bd-4a36-ba1c-558c138cc99d|10|
evoucher3_10.255.137.65|10.255.132.24:9177|eb7c9626-2138-49fc-8575-f5d7b72fd712|12|
evoucher4_10.255.137.66|10.255.132.27:9177|73f60b0a-d9ab-43ae-b1e3-d41b704041aa|12|
opensource-db-vm-1|10.255.77.79:9177|2edee1e2-2dd3-4d40-8972-647302f39a55|6|
opensource-db-vm-3|10.255.77.75:9177|92ba4d2f-13af-4a05-8814-e84dc70f211a|6|
opensource-db-vm-5|10.255.77.83:9177|fd39c752-598e-46fd-81f8-05696aeb5d5e|6|
opensource-db-vm-7|10.255.77.88:9177|e57e0cc3-36a8-4b69-8b40-656aa81d1b00|6|
opensource-db-vm-8|10.255.77.92:9177|37fc472d-22f8-4c48-ba4f-394789e546f9|6|
opensource-db-10|10.255.77.92:9177|3b71e9e6-9cd7-4afa-be8d-9e153db3e436|4|
opensource-db-vm-11|10.255.77.67:9177|cf240171-272b-4d80-9ffc-bf12b3fdfcb3|4|
APP-10.208.95.6|10.208.92.102:9177|d96bf94f-ac86-4b36-af4b-186e8d2e00f7|32|
App-10.208.96.4|10.208.92.108:9177|f10e9be7-7d71-45a3-afe8-4d2d3830b645|24|
APP-10.40.39.159|10.208.92.105:9177|5a1c1844-f48e-4482-bd9b-515dcfb6c6ee|16|
APP-10.40.39.158|10.208.92.109:9177|c6857756-5dc9-4a86-a631-858bc92a55a1|16|
hercules7_10.255.135.7|10.255.132.27:9177|a73ca707-fc96-4baf-8f9b-60e562489c8e|10|
hercules8_10.255.135.8|10.255.132.24:9177|3c60c221-4c46-442a-9646-114fccf99504|10|
hercules68_10.255.137.68|10.255.132.25:9177|ad8a00b7-0c62-4735-830d-cd8db0db84e6|10|
App-10.210.20.10|10.208.92.87:9177|8bac965b-e2ac-4b33-b303-2ac665224125|8|
hercules69_10.255.137.69|10.255.132.22:9177|b02244c8-7c59-40b6-b027-1bba914ed148|10|
APP-10.208.96.16|10.208.92.112:9177|fc21da6d-7bc9-4337-a322-523d297284b4|16|
vtpayftp09_10.255.135.9|10.255.132.24:9177|f02e98bf-d8ab-4868-b23f-0c7ab8f631df|10|
vtpayftp10_10.255.135.10|10.255.132.25:9177|15594253-0668-4d86-9bd7-fdc115f4fae5|10|
evoucher70_10.255.137.70|10.255.132.22:9177|3eaa3eeb-115e-4760-a023-16700337849d|12|
signgwvtpay01_10.255.133.65|10.255.132.21:9177|f8747255-87e2-44ce-9d7c-a59ff5d63c9e|24|
signgwvtpay02_10.255.133.66|10.255.132.16:9177|f413cd22-dee2-408f-be19-a2889fbd422a|24|
signgwvtpay03_10.255.133.67|10.255.132.14:9177|b7af5ad7-5d00-4e57-b6d4-d2515681bc1e|24|
VPG_BCCS-1_10.255.135.11|10.255.132.26:9177|bb381b8c-239a-422f-87a1-7fd99c5e9a8a|10|
VPG_BCCS-2_10.255.135.12|10.255.132.28:9177|9b12bb1e-588d-4458-9dad-53f41b96ce01|10|
VPG_BCCS-3_10.255.135.13|10.255.132.28:9177|fe307a09-1b51-40a2-a5d5-328ffad14999|10|
Hue_Smart_City-1_10.255.135.15|10.255.132.16:9177|8fa0bb80-1126-4a5c-8e1a-77ca49099138|8|
APP-10.208.96.17|10.208.92.122:9177|9055e105-49f9-43fc-87e4-0de4d1d24e68|16|
Hue_Smart_City-2_10.255.135.16|10.255.132.19:9177|570fbaf7-bb72-4e29-9fad-d606bd805900|8|
Hue_Smart_City-3_10.255.135.17|10.255.132.8:9177|6f9c0212-3139-4e2d-8ef3-8d4ed41172c9|8|
APP-10.208.96.6|10.208.92.123:9177|c62e33c0-f1c9-451b-ac68-86493854afb4|8|
Hue_Smart_City-1_10.255.137.71|10.255.132.22:9177|92085408-bf5e-49a9-a46b-60aec379f262|10|
APP-10.208.96.7|10.208.92.119:9177|cfbbd57d-e384-4f60-8adf-97df3ec05d54|8|
Hue_Smart_City-2_10.255.137.72|10.255.132.22:9177|4863bfc5-fca9-4921-bff1-dfef93df0b30|10|
APP-10.208.96.9|10.208.92.123:9177|7967f338-bc8c-42ef-b17a-717088062ee1|8|
APP-10.208.96.8|10.208.92.126:9177|2dcc9ea7-26f9-49ab-9ee6-6c6411768311|8|
nexus_10.255.135.19|10.255.132.27:9177|12150f28-f58b-4d6e-af22-2f7d127619d7|12|
APP-10.208.96.11|10.208.92.121:9177|0bc5e49f-b537-40ef-91bf-bef3a4018e90|8|
object_storage_10.255.135.20|10.255.132.23:9177|bb27b972-34d8-48bb-91a3-e2a1506da79c|12|
APP-10.208.96.10|10.208.92.126:9177|6419f772-c2ae-4089-bcb8-84037ae393ac|8|
APP-10.208.96.12|10.208.92.117:9177|b2851d8b-a248-4eaf-88b4-26cee24d6974|8|
DevOps_nginx01_10.255.135.21|10.255.132.26:9177|5af5e1f7-3002-4947-98ae-407f0afdf88d|12|
APP-10.208.96.13|10.208.92.117:9177|269c84e3-726d-4b00-bcea-95232ef67bfa|8|
sonarquebe_10.255.135.22|10.255.132.24:9177|cbab4a84-9dc3-49b2-99fd-c6f7de5953f6|16|
APP-10.208.96.14|10.208.92.129:9177|7524225b-697b-4b83-a7de-01757830e19a|8|
APP-10.208.96.15|10.208.92.119:9177|f44e981d-6e4f-4fb8-999f-30f12f69ffc9|8|
monitor-ops01_10.255.135.26|10.255.132.26:9177|853436ae-6c93-4bb5-bb5d-c1922409d884|12|
jenkins_master_10.255.135.23|10.255.132.28:9177|e41c4238-4480-4056-ae32-fb6373c6b090|12|
jenkins_slave01_10.255.135.24|10.255.132.27:9177|84513dda-71f6-476d-8d6c-230cc6258669|16|
VDI-10.210.20.92|10.208.92.96:9177|927831ca-14c0-470f-ac74-0ed0fef9a484|8|
jenkins_slave02_10.255.135.25|10.255.132.26:9177|65cda8ec-322c-4a8b-a664-a897a2b17fb8|16|
VDI-10.210.20.78|10.208.92.94:9177|36e63daf-a13b-4a07-b08d-dc11f80d0015|8|
monitor-ops02_10.255.135.27|10.255.132.23:9177|61d7d39e-7a74-4e1a-94ed-c8cefb63a2cf|12|
VDI-10.210.20.87|10.208.92.90:9177|326a540a-ec32-4371-9145-96dec07fec45|8|
Alpha-1_10.255.133.68|10.255.132.15:9177|b68c12fc-476d-45d5-a3b6-ceb35487b55a|10|
VDI-10.210.20.32|10.208.92.93:9177|a132f5b9-ee90-40fc-b689-3e40214741c4|8|
Alpha-2_10.255.133.69|10.255.132.21:9177|46b94a50-a1cd-4462-bda5-7c41e4da29c3|10|
VDI-10.210.20.67|10.208.92.88:9177|cfd2048c-cf1c-4262-b467-86a117bfa8c9|8|
VDI-10.210.20.31|10.208.92.95:9177|e0d10aa6-6a8d-4452-9e70-9f4aadf13e6a|8|
VDI-10.210.20.29|10.208.92.93:9177|be653f80-b0c5-44dc-9ee0-1d9c39593d04|8|
VDI-10.210.20.38|10.208.92.96:9177|caf4d970-8325-4597-bc2b-d6f84456b632|8|
VDI-10.210.20.30|10.208.92.96:9177|05a3774a-1842-48e7-b63a-3e699f0e609e|8|
VDI-10.210.20.94|10.208.92.95:9177|b780998b-37cd-4166-8020-e31fce8e1487|8|
Alpha-13_10.255.133.80|10.255.132.15:9177|183cfb1c-97de-47d9-8c95-f77081d1bb09|16|
VDI-10.210.20.9|10.208.92.96:9177|bb84673a-74b6-4f7a-9ae1-559685906b6e|8|
VDI-10.210.20.103|10.208.92.99:9177|44501395-265c-45b5-9e0b-a2d0c1575b04|8|
Alpha-15_10.255.133.82|10.255.132.15:9177|8de32e5e-8f11-4f3e-8638-189cec4ca1c4|16|
VDI-10.210.20.8|10.208.92.93:9177|fbd5cb92-099f-44c1-a281-9b8c9d929978|8|
app-10.208.105.2|10.208.92.106:9177|ec878568-6cc6-439c-b0a1-f6d689be0bd3|24|
Alpha-17_10.255.133.84|10.255.132.15:9177|31f51e28-2b0a-492d-aa26-dae602060358|16|
app-10.208.105.1|10.208.92.130:9177|3823256f-205e-4923-b277-85fec897dd44|24|
Alpha-18_10.255.133.85|10.255.132.17:9177|bc06e578-1059-42a3-aaf2-709811170ad8|16|
App-10.208.96.29|10.208.92.98:9177|ae929967-a47a-4253-a2c1-9285afce95d0|8|
App-10.208.96.27|10.208.92.98:9177|edb92091-1ef4-440e-9f06-d717b14a4dd5|8|
VDI-10.210.20.15|10.208.92.90:9177|921e6c7b-b274-4a54-acc3-e2492e055dd4|8|
VDI-10.210.20.19|10.208.92.88:9177|d8e0695a-5a66-4558-a50a-8089fd61249b|8|
VDI-10.210.20.20|10.208.92.96:9177|5dc48ad0-2a36-4ca0-aefd-667f5a7c89f2|8|
Staging-1_10.255.133.161|10.255.132.21:9177|27e5d377-bd39-4f6a-a56f-585f1c0cb59c|10|
VDI-10.210.20.21|10.208.92.92:9177|39afc721-c095-4599-aedc-9603152e711c|8|
VDI-10.210.20.16|10.208.92.97:9177|6c0674f8-d424-446a-8121-3cace7bf79cf|8|
Staging-3_10.255.133.163|10.255.132.17:9177|7df6172f-72d8-46d0-be0d-c70bb84ff5b9|10|
VDI-10.210.20.13|10.208.92.96:9177|9db8339a-2183-4e84-894a-37ae65bc1eac|8|
Staging-4_10.255.133.164|10.255.132.16:9177|592ee849-8a37-40e3-82e5-3bd480f5bc83|10|
VDI-10.210.20.17|10.208.92.96:9177|6a6af9de-2b0a-417e-b608-54d1d79166a9|8|
Staging-5_10.255.133.165|10.255.132.17:9177|6f7d41ed-8cd8-4222-8ebc-f5241574fd3a|10|
VDI-10.210.20.12|10.208.92.96:9177|42f806e6-a915-4653-8a88-8722be56f91e|8|
Staging-9_10.255.133.169|10.255.132.18:9177|8398a2be-2621-4591-87a3-76763310afa8|10|
VDI-10.210.20.97|10.208.92.96:9177|a67f86bf-9500-446c-a513-e0bcbbf1647d|8|
Staging-10_10.255.133.170|10.255.132.14:9177|3d793ce1-67f3-43b0-9d6f-64c27c4061b0|10|
VDI-10.210.20.93|10.208.92.99:9177|3d250c30-f3db-4cd4-add0-91013ce38c3c|8|
Staging-11_10.255.133.171|10.255.132.18:9177|8aa5dee4-8288-492f-8299-c6fa1df70ea1|10|
VDI-10.210.20.7|10.208.92.96:9177|f6554924-a181-4f4b-9654-dceda7876a63|8|
Staging-6_10.255.133.166|10.255.132.18:9177|4de6330e-1388-42cd-9f5b-1e4685dd82e7|16|
Staging-7_10.255.133.167|10.255.132.19:9177|eea415be-d50f-4f9c-8c73-27d6796bead8|16|
VDI-10.210.20.6|10.208.92.95:9177|caff01eb-04aa-4f65-8e95-1ddccc503608|8|
Staging-8_10.255.133.168|10.255.132.21:9177|c9e8ddd2-39c5-48b8-9de9-e7a909f05a53|16|
VDI-10.210.20.5|10.208.92.99:9177|720238bb-fad3-457e-87b8-64b299a530b5|8|
Staging-12_10.255.133.172|10.255.132.17:9177|7705d6af-d619-4c79-9dca-0dce63162379|16|
VDI-10.210.20.104|10.208.92.90:9177|58d94aec-77f3-426c-a91c-f93b31d39718|8|
Staging-13_10.255.133.173|10.255.132.19:9177|acea3c8a-6530-43d4-9140-f7015b79a390|16|
VDI-10.210.20.18|10.208.92.95:9177|3e9fdc22-f57a-4115-a353-53dcc7f0afe5|8|
Staging-14_10.255.133.174|10.255.132.15:9177|8bea980d-7f58-429d-b26e-46c76d2304bc|16|
VDI-10.210.20.106|10.208.92.95:9177|47d5472d-bb61-4100-9a57-d80241071077|8|
Staging-15_10.255.133.175|10.255.132.17:9177|8d6c0f3d-9cc2-4a80-8070-d616acd5f4c9|16|
VDI-10.210.20.11|10.208.92.95:9177|be79c743-72c0-4627-95dd-8cbb9ea65bc8|8|
Staging-16_10.255.133.176|10.255.132.15:9177|66ca726d-c4ff-495f-9c5f-20b92e965c54|16|
VDI-10.210.20.96|10.208.92.93:9177|0d124eb1-4b9e-4573-85d1-45c9ff665756|8|
Staging-17_10.255.133.177|10.255.132.21:9177|c1d0da64-bbee-4804-b250-1dfe9b13a0b1|16|
VDI-10.210.20.14|10.208.92.95:9177|6ccd4b88-c8d3-44ac-a7be-07555cccac79|8|
Staging-18_10.255.133.178|10.255.132.18:9177|0df4c3a3-0dfb-4cdb-8b73-b7eeffa79709|16|
VDI-10.210.20.22|10.208.92.96:9177|3bf7181f-d07b-489b-bf3d-e90a777e2e02|8|
Staging-19_10.255.133.179|10.255.132.21:9177|f200cb79-90de-49fd-9b94-a5162dfc1c78|16|
Staging-20_10.255.133.180|10.255.132.17:9177|d2a7181d-3ca3-4597-a73d-c8c476e18e4a|16|
VDI-10.210.20.23|10.208.92.90:9177|751c5e66-fa28-4766-b31f-9b88286f2b9d|8|
eKYC-1_10.255.136.65|10.255.132.10:9177|3e1a4e7b-428e-45ad-85da-6b0bf016841c|24|
VDI-10.210.20.24|10.208.92.95:9177|b4bd689d-703c-4e6c-a49e-07bb9c7b0fbc|8|
eKYC-2_10.255.136.66|10.255.132.11:9177|95ea44a5-eec0-4092-8fea-6dae9edd0f37|24|
VDI-10.210.20.43|10.208.92.99:9177|b5a58836-c5a7-4a00-be66-39372a5db4c7|8|
eKYC-3_10.255.136.67|10.255.132.8:9177|6af27969-9fe8-45bf-bbcd-8423b6bc6475|24|
eKYC-4_10.255.136.68|10.255.132.11:9177|f83a9831-2490-4231-97a5-7ae7f26b604d|24|
VDI-10.210.20.40|10.208.92.95:9177|f6ed2c9d-53ae-448a-8a40-ccd442b0d855|8|
eKYC-5_10.255.136.69|10.255.132.6:9177|cec8fe40-fa6e-4fe4-9e22-6ea806719f7d|24|
VDI-10.210.20.28|10.208.92.99:9177|2c4ba81b-b5c9-478b-ac7d-a0869b1c7c42|8|
App-10.254.186.3|10.254.203.223:9177|8e27533b-1e05-4638-bf98-43f7aa176a90|24|
VDI-10.210.20.41|10.208.92.90:9177|6676258f-1f80-476b-8b73-57fe5df79be2|8|
VDI-10.210.20.34|10.208.92.88:9177|6aa83153-2584-4e34-8ffb-7898e22ca4d6|8|
VDI-10.210.20.37|10.208.92.99:9177|4a7756e8-6642-4f3b-9026-f9c725b43cda|8|
VDI-10.210.20.36|10.208.92.88:9177|ee99d5c0-2094-4215-accc-bc54818bbbf3|8|
eKYC-6_10.255.136.70|10.255.132.9:9177|162fdfe5-2b02-48f3-9373-02aad1c4f187|24|
VDI-10.210.20.42|10.208.92.92:9177|88270dda-d8c2-4d32-b2eb-f56efc06a7df|8|
VDI-10.210.20.44|10.208.92.88:9177|494bbc64-1a83-4084-9f1e-ceae2781c58c|8|
eKYC-1_10.255.135.28|10.255.132.28:9177|a9a5955b-e0d1-488c-9f91-2ba0b8301696|16|
VDI-10.210.20.60|10.208.92.90:9177|2165941e-4f4c-4b9c-b829-2de584d2ec03|8|
VDI-10.210.20.50|10.208.92.88:9177|feb060f9-5e9f-4966-a123-fc9643dec5f9|8|
VDI-10.210.20.61|10.208.92.90:9177|0d37b768-58ea-4ab4-9110-2789390a9443|8|
VDI-10.210.20.51|10.208.92.90:9177|81f5d8d1-e316-4d6c-92ff-65bb8e40d782|8|
VDI-10.210.20.49|10.208.92.96:9177|39aaf750-369e-40ae-bf9c-4d21a7fbca84|8|
